,loss
0,0.09764379389040793
1,0.03704049872370282
2,0.02173929503430069
3,0.01452801834505711
4,0.011593304155394436
5,0.009441992846283635
6,0.00922111736754232
7,0.008858036158077691
8,0.007395681699684549
9,0.006466276794526493
10,0.0062085393845033345
11,0.005881518278548962
12,0.005250148462012779
13,0.004944994509863439
14,0.004800669975126463
15,0.004698904136466809
16,0.004506397161780266
17,0.004279563999330094
18,0.004208468026998465
19,0.004065918377697623
20,0.003905652386932464
21,0.005146673523965243
22,0.0047754200739139685
23,0.004195146975560723
24,0.0037517262811661567
25,0.003518483964800604
26,0.0038280747760912467
27,0.0035743429140741986
28,0.003443803491389493
29,0.003632183179123179
30,0.003684808620406936
31,0.003448764459449194
32,0.004390942647160045
33,0.003712263701883482
34,0.004642635715345023
35,0.0036095861593973193
36,0.003533838851035398
37,0.0035199190325405044
38,0.003442047537638852
39,0.0031469814436510053
40,0.0030231295525879887
41,0.003212517371529581
42,0.003172729942283089
43,0.0032176253998121257
44,0.0031444725224105243
45,0.0029235240210671995
46,0.0031383494911930636
47,0.00314717830273518
48,0.003061383775741433
49,0.003130954578106563
50,0.00310944384296666
51,0.0031507863710582267
52,0.0030965312584726235
53,0.0036177317746364677
54,0.004732155905829435
55,0.0033296094284272233
56,0.0029555955727043207
57,0.0029069078782981705
58,0.0027988747954073765
59,0.004050389660759871
60,0.0029555558095656427
61,0.0032018317239059495
62,0.0029136849591698895
63,0.002991169025957182
64,0.003133119713281
65,0.0027898797638385986
66,0.0028668656539214982
67,0.0029397403512897804
68,0.0030003041718477635
69,0.0029327488383008435
70,0.0029142874644321635
71,0.002872308097532065
72,0.00295893200642657
73,0.0028372762638203615
74,0.0029572215547962817
75,0.0029040020172260484
76,0.0027175539257730938
77,0.002842772350686573
78,0.0028038521430327518
79,0.00275175693213896
80,0.0027698183746034982
81,0.002838747898732663
82,0.0037233253655737522
83,0.004289632141865241
84,0.0028986126503241392
85,0.00275589091307135
86,0.003430166061086008
87,0.0033328928307165976
88,0.002856747046833637
89,0.0027411062491296432
90,0.002717232738929927
91,0.0025816957368495724
92,0.002682622901018779
93,0.0027653082319356297
94,0.0027441356443205223
95,0.002677716366883942
96,0.0025595721304436363
97,0.002639373363120967
98,0.0026570047804511886
99,0.0027732067160476013
