,loss
0,0.09937126206544539
1,0.03706792231532745
2,0.02023211367195472
3,0.0133962837663906
4,0.010351587981858756
5,0.009769767226771364
6,0.009115511729093365
7,0.008332928872368939
8,0.008007229008429324
9,0.006582597241200953
10,0.00587106003728574
11,0.005897196234195689
12,0.005179328970234565
13,0.005152904960414162
14,0.004817611493884518
15,0.004543648384431738
16,0.0046748626340748466
17,0.0047463179944391715
18,0.004648156724510954
19,0.0039768575407379105
20,0.0037204892994244193
21,0.003996790725940021
22,0.003857717418645734
23,0.0041527461605331455
24,0.003908498851599992
25,0.004262635301612742
26,0.004557369969703965
27,0.004272175565885542
28,0.003879131813444777
29,0.003424322264955511
30,0.003636747774032756
31,0.0033112053017021028
32,0.003274279224168216
33,0.0035430874487815344
34,0.004039875678745375
35,0.0035387332449545285
36,0.003330437180386525
37,0.003313291221752479
38,0.003420201538187939
39,0.0034906167046074186
40,0.004519532540939508
41,0.0038005746282957866
42,0.0045668767163761
43,0.0033436594590890915
44,0.003154749638683067
45,0.0031244563956552914
46,0.0030244545209389645
47,0.0030080315817485825
48,0.003210513038758715
49,0.002999175299457117
50,0.002926580820474101
51,0.0031815612748668323
52,0.002999972621936801
53,0.002963919736960937
54,0.0031156334201947783
55,0.004490349497662767
56,0.0044614098190398485
57,0.003068743066258624
58,0.00298611321017385
59,0.003053938747198496
60,0.002931963688166661
61,0.0027833204247447916
62,0.0029457196773402454
63,0.002914355266629324
64,0.0028346545765865964
65,0.0028613271323024493
66,0.0028438790373760034
67,0.0028908472139543544
68,0.002990762352017858
69,0.0029106682322966055
70,0.0028388436963306656
71,0.0028261736168985864
72,0.004440255743080949
73,0.003912638549055222
74,0.0031480119863241877
75,0.0027609025051863983
76,0.00273709069398933
77,0.0027881589900251432
78,0.002809935449488421
79,0.002834205874410145
80,0.0029415685570635714
81,0.0027783161421628694
82,0.002869330089383008
83,0.003099414419997023
84,0.0036710193525019957
85,0.003372260238245417
86,0.0033312698078664955
87,0.003207751200193343
88,0.0027408385298855363
89,0.002932262988868691
90,0.002692810276257281
91,0.0027238148372229413
92,0.002778921942846561
93,0.002808106650083649
94,0.0026099309918587704
95,0.0027780128702337
96,0.0027932982095895415
97,0.0029284602113269407
98,0.00277328960601911
99,0.0028988903469818676
