,loss
0,0.10417941592556114
1,0.041647253837436435
2,0.020865751982394917
3,0.013771672008927757
4,0.010473627561805188
5,0.009240934400077094
6,0.009218440030993709
7,0.008524715501531924
8,0.0073766378563353404
9,0.006455826866901286
10,0.006293094105270332
11,0.005889629766988947
12,0.005278596685775483
13,0.005154377084515242
14,0.004785170856378803
15,0.004964949596236086
16,0.00480031671524254
17,0.004213402881111961
18,0.004316790607261586
19,0.0037972690252369525
20,0.003924425165018874
21,0.004031304327698612
22,0.004811410392509667
23,0.004546735685835301
24,0.0036292413141988315
25,0.003962154302909463
26,0.003613263031244666
27,0.0035002197580373223
28,0.004044141116658769
29,0.003480892939963572
30,0.00327250764433605
31,0.00347249958959992
32,0.004202261587981108
33,0.0036489428743455695
34,0.003299453423073828
35,0.003184499655943303
36,0.0033738846501364605
37,0.003236575800489542
38,0.0034960239426254703
39,0.0031833730775891428
40,0.003124616425172159
41,0.0032406830588873467
42,0.006630518952825544
43,0.004029695441537721
44,0.0032373049012752136
45,0.002977797705678616
46,0.002961135464268712
47,0.002908232979435373
48,0.003068542380810868
49,0.0030162280334820935
50,0.002890434316259416
51,0.0028891763577765534
52,0.002947999952129976
53,0.002967427908049558
54,0.0034571546037530728
55,0.0032969380810413894
56,0.0031285030433233865
57,0.0030218803169702823
58,0.0029582051722267504
59,0.0029146769697263155
60,0.003040732875191073
61,0.003030769667018755
62,0.003149123038099333
63,0.004297164320409289
64,0.003887903824067962
65,0.003308129156871094
66,0.0032162878306441676
67,0.0029235571132555076
68,0.002855459686065842
69,0.002770520328169823
70,0.0029601246228973346
71,0.0028583324006262955
72,0.003037448607214325
73,0.003010098465885373
74,0.0029680553634667223
75,0.0027594745940594597
76,0.0028202606640699438
77,0.002915863810130759
78,0.0028792475564121864
79,0.002801226702818364
80,0.0029431380533026185
81,0.0031499617222417934
82,0.00313435808190358
83,0.0029022284645141855
84,0.0027911854909916656
85,0.002690846333094517
86,0.002755813058907582
87,0.0028320230531600527
88,0.0029328169973609876
89,0.0029300963814421267
90,0.003637497062785163
91,0.004061416700559069
92,0.002870862877333972
93,0.0027353179275166895
94,0.00273908356573808
95,0.0025652169088706007
96,0.002757835292383485
97,0.002618296117854394
98,0.0026710925407239
99,0.002647520460988062
