Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Call Reordering,0.05,SGAN,99.88%,12823/12839,16,10.4469
50,Call Reordering,0.05,DGCNN,99.78%,12811/12839,28,21.8076
50,Call Reordering,0.05,CNN,99.97%,12835/12839,4,9.5100
50,Call Reordering,0.05,HYBRID-DGCNN,99.86%,12821/12839,18,20.9054
50,Call Reordering,0.05,GAT,99.56%,12783/12839,56,39.8173
50,Call Reordering,0.05,HYBRID-GAT,99.70%,12801/12839,38,67.2526
50,Call Reordering,0.05,LSTM,99.82%,12816/12839,23,38.7248
