Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Stalling Padding,0.7,SGAN,99.97%,12835/12839,4,10.7102
50,Stalling Padding,0.7,DGCNN,100.00%,12839/12839,0,22.6592
50,Stalling Padding,0.7,CNN,100.00%,12839/12839,0,10.1010
50,Stalling Padding,0.7,HYBRID-DGCNN,100.00%,12839/12839,0,22.4808
50,Stalling Padding,0.7,GAT,100.00%,12839/12839,0,42.3095
50,Stalling Padding,0.7,HYBRID-GAT,100.00%,12839/12839,0,71.0594
50,Stalling Padding,0.7,LSTM,99.44%,12767/12839,72,40.0351
