Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Stalling Padding,0.3,SGAN,99.97%,12835/12839,4,11.0464
50,Stalling Padding,0.3,DGCNN,100.00%,12839/12839,0,22.9767
50,Stalling Padding,0.3,CNN,100.00%,12839/12839,0,10.6298
50,Stalling Padding,0.3,HYBRID-DGCNN,100.00%,12839/12839,0,22.8384
50,Stalling Padding,0.3,GAT,99.97%,12835/12839,4,43.3031
50,Stalling Padding,0.3,HYBRID-GAT,95.16%,12217/12839,622,71.2846
50,Stalling Padding,0.3,LSTM,98.08%,12592/12839,247,41.6855
