Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Call Reordering,0.1,SGAN,99.93%,12830/12839,9,12.9664
50,Call Reordering,0.1,DGCNN,99.76%,12808/12839,31,25.1974
50,Call Reordering,0.1,CNN,99.97%,12835/12839,4,12.0874
50,Call Reordering,0.1,HYBRID-DGCNN,99.85%,12820/12839,19,25.1174
50,Call Reordering,0.1,GAT,99.56%,12783/12839,56,47.8836
50,Call Reordering,0.1,HYBRID-GAT,99.69%,12799/12839,40,77.4620
50,Call Reordering,0.1,LSTM,99.84%,12818/12839,21,46.6711
