Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Stalling Padding,0.5,SGAN,99.98%,12837/12839,2,10.6986
50,Stalling Padding,0.5,DGCNN,100.00%,12839/12839,0,22.5221
50,Stalling Padding,0.5,CNN,100.00%,12839/12839,0,10.1313
50,Stalling Padding,0.5,HYBRID-DGCNN,100.00%,12839/12839,0,22.2469
50,Stalling Padding,0.5,GAT,99.99%,12838/12839,1,42.0384
50,Stalling Padding,0.5,HYBRID-GAT,100.00%,12839/12839,0,70.0531
50,Stalling Padding,0.5,LSTM,93.28%,11976/12839,863,39.8175
