epoch,d_loss,g_loss
1,0.026099152863025665,1.077850580215454
2,0.014383049681782722,1.1508772373199463
3,0.012173601426184177,1.0064820051193237
4,0.00918219331651926,1.0948731899261475
5,0.027474572882056236,0.9945696592330933
6,0.0061826566234230995,0.9488968253135681
7,0.006699724588543177,0.9510223269462585
8,0.0023442215751856565,1.0011866092681885
9,0.0018184441141784191,1.037319540977478
10,0.0009711464517749846,1.0289688110351562
11,0.00170649285428226,1.039879560470581
12,0.0005117319524288177,1.012417197227478
13,0.0007447629468515515,1.0624123811721802
14,0.001842694589868188,1.0555274486541748
15,0.0012786091538146138,1.0961604118347168
16,0.00042240697075612843,0.9976961612701416
17,0.0018156501464545727,0.9921883344650269
18,0.0006453294190578163,1.0058016777038574
19,0.0009701132657937706,1.0390374660491943
20,0.000864511588588357,1.0418004989624023
21,0.0003903259348589927,0.9987383484840393
22,0.0017583598382771015,0.9799422025680542
23,0.0017559714615345001,1.041944980621338
24,0.0005305155063979328,1.0044262409210205
25,0.0011117246467620134,1.1082823276519775
26,0.0006014584214426577,1.129868507385254
27,0.0007172702462412417,0.9773442149162292
28,0.005658247508108616,1.756089687347412
29,0.0018651271238923073,1.9455523490905762
30,0.0021260050125420094,1.9632867574691772
31,0.012457123026251793,1.5927677154541016
32,0.0016506555257365108,1.770975947380066
33,0.007078422699123621,1.9192211627960205
34,0.00771529134362936,1.7341413497924805
35,0.010489299893379211,1.6259174346923828
36,0.0017188078491017222,1.6875698566436768
37,0.007064595352858305,1.5556256771087646
38,0.006510027684271336,1.400843620300293
39,0.010212644934654236,1.344571590423584
40,0.004363839980214834,1.384993076324463
41,0.0034676562063395977,1.259210228919983
42,0.0037182921078056097,1.254647970199585
43,0.00444073136895895,1.2487447261810303
44,0.007890203967690468,1.2432507276535034
45,0.01541008148342371,1.177550196647644
46,0.0031930548138916492,1.1702519655227661
47,0.0063919126987457275,1.1171174049377441
48,0.006263607647269964,1.072204828262329
49,0.004347611218690872,1.2720385789871216
50,0.0035156526137143373,2.298464775085449
51,0.00638464093208313,2.028154134750366
52,0.01395471766591072,1.911503791809082
53,0.008724609389901161,1.7576909065246582
54,0.019121460616588593,1.6666914224624634
55,0.014323757030069828,1.5486876964569092
56,0.002644069492816925,1.4273350238800049
57,0.00391368055716157,1.4242439270019531
58,0.008537190966308117,1.329092264175415
59,0.0030984156765043736,1.464921474456787
60,0.006589902564883232,1.3219976425170898
61,0.004688171204179525,1.2947973012924194
62,0.005354147870093584,1.3900206089019775
63,0.013653787784278393,1.288450002670288
64,0.008074439130723476,1.3393864631652832
65,0.003541470505297184,1.2054080963134766
66,0.007316243834793568,1.1537237167358398
67,0.004940364509820938,1.0641130208969116
68,0.006001691799610853,1.0688707828521729
69,0.004658992402255535,1.0271908044815063
70,0.002536941785365343,1.0265977382659912
71,0.004254003055393696,0.9972034692764282
72,0.01557947974652052,1.1006286144256592
73,0.002602699212729931,1.1905207633972168
74,0.004478103015571833,1.1350960731506348
75,0.002945707179605961,1.0800185203552246
76,0.004865086171776056,1.8892571926116943
77,0.005202361382544041,1.7718875408172607
78,0.00518833426758647,1.6951675415039062
79,0.007331391796469688,1.6608625650405884
80,0.017905760556459427,1.5735139846801758
81,0.008246387355029583,1.5269908905029297
82,0.0050173792988061905,1.5182610750198364
83,0.007497438695281744,1.496356725692749
84,0.011292108334600925,1.521095871925354
85,0.0036838792730122805,1.4912636280059814
86,0.005991651210933924,1.4051941633224487
87,0.00846848450601101,1.2879409790039062
88,0.008527233265340328,1.243849277496338
89,0.004916213918477297,1.2195823192596436
90,0.007426087278872728,1.2357425689697266
91,0.00617561349645257,1.2040935754776
92,0.00674474099650979,1.1768395900726318
93,0.00600223895162344,1.1120890378952026
94,0.004721826873719692,3.542086601257324
95,0.010610057041049004,3.2375080585479736
96,0.007313577923923731,3.3245463371276855
97,0.0030581068713217974,3.2334046363830566
98,0.01607588678598404,3.1373484134674072
99,0.02033347077667713,3.0910940170288086
100,0.007476130500435829,3.049744129180908
