seed,epoch,D_loss,G_loss
10,1,0.0104649867862463,0.005526140797883272
10,2,0.07273002713918686,0.0111201461404562
10,3,0.08490978181362152,0.014254080131649971
10,4,0.010476482100784779,0.01489218045026064
10,5,0.01113049779087305,0.01551881991326809
10,6,0.07311622053384781,0.01749124750494957
10,7,0.015293873846530914,0.014393600635230541
10,8,0.004221681039780378,0.016198551282286644
10,9,0.023395782336592674,0.011322131380438805
10,10,0.17118188738822937,0.01186524610966444
10,11,0.01796983927488327,0.011393350549042225
10,12,0.08165094256401062,0.012927012518048286
10,13,0.025870613753795624,0.010993544943630695
10,14,0.09843272715806961,0.011503193527460098
10,15,0.0130458427593112,0.010201150551438332
10,16,0.09799419343471527,0.009747265838086605
10,17,0.011725148186087608,0.010867380537092686
10,18,0.0029201351571828127,0.01249128021299839
10,19,0.03126182407140732,0.009745270013809204
10,20,0.06205371394753456,0.006699860095977783
10,21,0.017689766362309456,0.010386437177658081
10,22,0.006710312329232693,0.012309589423239231
10,23,0.09482359141111374,0.0055336481891572475
10,24,0.005791421979665756,0.008122872561216354
10,25,0.05188553035259247,0.008389073424041271
10,26,0.001717892475426197,0.009866278618574142
10,27,0.0060972534120082855,0.006959987338632345
10,28,0.003254029667004943,0.008077023550868034
10,29,0.06744720786809921,0.007231909316033125
10,30,0.003938373178243637,0.009914292022585869
10,31,0.005029140040278435,0.006920741870999336
10,32,0.01638367585837841,0.006277488544583321
10,33,0.004104957450181246,0.007853345945477486
10,34,0.02670464478433132,0.007351072039455175
10,35,0.308439165353775,0.008173057809472084
10,36,0.0019172735046595335,0.007764680776745081
10,37,0.06335483491420746,0.00712943822145462
10,38,0.07778014987707138,0.005404302384704351
10,39,0.010310808196663857,0.006892977748066187
10,40,0.014239230193197727,0.005988966207951307
10,41,0.005180439446121454,0.006464051548391581
10,42,0.0026724194176495075,0.006601783912628889
10,43,0.025018153712153435,0.007688761223107576
10,44,0.004803569987416267,0.005944174714386463
10,45,0.02710934728384018,0.0059400442987680435
10,46,0.003370041958987713,0.0062932902947068214
10,47,0.005847726482897997,0.0052619981579482555
10,48,0.002535121515393257,0.00624773558229208
10,49,0.0019257930107414722,0.006302052177488804
10,50,0.03513702377676964,0.00559946009889245
20,1,0.04398871213197708,0.005073196720331907
20,2,0.007997616194188595,0.013259097933769226
20,3,0.016021428629755974,0.011475120671093464
20,4,0.006969498470425606,0.014924976043403149
20,5,0.019082315266132355,0.011277822777628899
20,6,0.14374947547912598,0.01238886546343565
20,7,0.0028662774711847305,0.014528471045196056
20,8,0.003757583675906062,0.01325918547809124
20,9,0.03210024908185005,0.01376846618950367
20,10,0.009849791415035725,0.015416665002703667
20,11,0.004864018876105547,0.011059281416237354
20,12,0.0024975170381367207,0.012955517508089542
20,13,0.008248534984886646,0.010830363258719444
20,14,0.009975196793675423,0.013855245895683765
20,15,0.07030436396598816,0.011622675694525242
20,16,0.01892962120473385,0.012185386382043362
20,17,0.006308448500931263,0.014196233823895454
20,18,0.002318317536264658,0.010536574758589268
20,19,0.04912301152944565,0.011554845608770847
20,20,0.0019103441154584289,0.012967654503881931
20,21,0.0903410017490387,0.008909942582249641
20,22,0.01563531719148159,0.010728455148637295
20,23,0.018742354586720467,0.008893294259905815
20,24,0.06670338660478592,0.009395618923008442
20,25,0.08240965753793716,0.007265875115990639
20,26,0.03768203407526016,0.007902078330516815
20,27,0.0107744624838233,0.009089842438697815
20,28,0.0102034667506814,0.008351624011993408
20,29,0.014261459931731224,0.007307263556867838
20,30,0.02193351462483406,0.006327406968921423
20,31,0.13011302053928375,0.0076432544738054276
20,32,0.0014895605854690075,0.007571092806756496
