Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
10,Stalling Padding,0.7,DGCNN,100.00%,12839/12839,0,25.6467
10,Stalling Padding,0.7,GAT,100.00%,12839/12839,0,47.9343
10,Stalling Padding,0.7,HYBRID-DGCNN,100.00%,12839/12839,0,24.8548
10,Stalling Padding,0.7,HYBRID-GAT,100.00%,12839/12839,0,79.6444
10,Stalling Padding,0.7,LSTM,99.98%,12837/12839,2,45.8162
10,Stalling Padding,0.7,SGAN,99.97%,12835/12839,4,12.4783
10,Stalling Padding,0.9,CNN,100.00%,12839/12839,0,12.8547
10,Stalling Padding,0.9,DGCNN,100.00%,12839/12839,0,27.3317
10,Stalling Padding,0.9,GAT,100.00%,12839/12839,0,53.2493
10,Stalling Padding,0.9,HYBRID-DGCNN,100.00%,12839/12839,0,27.2897
10,Stalling Padding,0.9,HYBRID-GAT,100.00%,12839/12839,0,83.2578
10,Stalling Padding,0.9,LSTM,100.00%,12839/12839,0,50.5463
10,Stalling Padding,0.9,SGAN,99.97%,12835/12839,4,14.2674
20,Benign Mimicry,0.1,CNN,99.69%,12799/12839,40,28.9999
20,Benign Mimicry,0.1,DGCNN,97.77%,12553/12839,286,58.692
20,Benign Mimicry,0.1,GAT,97.16%,12475/12839,364,121.7731
20,Benign Mimicry,0.1,HYBRID-DGCNN,96.67%,12412/12839,427,58.0439
20,Benign Mimicry,0.1,HYBRID-GAT,97.20%,12479/12839,360,185.1152
20,Benign Mimicry,0.1,LSTM,97.60%,12531/12839,308,139.6061
20,Benign Mimicry,0.1,SGAN,99.89%,12825/12839,14,30.3325
20,Benign Mimicry,0.2,CNN,99.31%,12750/12839,89,17.1553
20,Benign Mimicry,0.2,DGCNN,96.91%,12442/12839,397,35.3637
20,Benign Mimicry,0.2,GAT,94.99%,12196/12839,643,71.4462
20,Benign Mimicry,0.2,HYBRID-DGCNN,94.65%,12152/12839,687,34.9221
20,Benign Mimicry,0.2,HYBRID-GAT,91.68%,11771/12839,1068,110.0585
20,Benign Mimicry,0.2,LSTM,96.03%,12329/12839,510,75.9327
20,Benign Mimicry,0.2,SGAN,99.66%,12795/12839,44,18.0595
20,Benign Mimicry,0.3,CNN,98.76%,12680/12839,159,9.0007
20,Benign Mimicry,0.3,DGCNN,96.46%,12384/12839,455,20.2286
20,Benign Mimicry,0.3,GAT,94.04%,12074/12839,765,37.5101
20,Benign Mimicry,0.3,HYBRID-DGCNN,93.13%,11957/12839,882,19.1801
20,Benign Mimicry,0.3,HYBRID-GAT,84.28%,10821/12839,2018,60.2221
20,Benign Mimicry,0.3,LSTM,95.60%,12274/12839,565,34.7224
20,Benign Mimicry,0.3,SGAN,99.17%,12733/12839,106,9.8912
20,Benign Mimicry,0.4,CNN,98.08%,12592/12839,247,8.8666
20,Benign Mimicry,0.4,DGCNN,96.51%,12391/12839,448,19.9925
20,Benign Mimicry,0.4,GAT,93.79%,12042/12839,797,37.026
20,Benign Mimicry,0.4,HYBRID-DGCNN,92.82%,11917/12839,922,18.8693
20,Benign Mimicry,0.4,HYBRID-GAT,81.60%,10477/12839,2362,59.5131
20,Benign Mimicry,0.4,LSTM,95.47%,12257/12839,582,34.2035
20,Benign Mimicry,0.4,SGAN,98.52%,12649/12839,190,9.7456
20,Call Reordering,0.05,CNN,99.93%,12830/12839,9,9.7928
20,Call Reordering,0.05,DGCNN,99.79%,12812/12839,27,21.511
20,Call Reordering,0.05,GAT,99.57%,12784/12839,55,39.8834
20,Call Reordering,0.05,HYBRID-DGCNN,99.84%,12818/12839,21,20.6589
20,Call Reordering,0.05,HYBRID-GAT,99.63%,12791/12839,48,64.1296
20,Call Reordering,0.05,LSTM,99.76%,12808/12839,31,37.4362
20,Call Reordering,0.05,SGAN,99.89%,12825/12839,14,10.5567
20,Call Reordering,0.1,CNN,99.88%,12824/12839,15,11.7652
20,Call Reordering,0.1,DGCNN,99.79%,12812/12839,27,25.0142
