Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
30,Call Reordering,0.05,TRANSFORMER,99.61%,12789/12839,50,17.1239
30,Call Reordering,0.05,TRANSGAN,99.49%,12773/12839,66,17.1400
