Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
10,Call Reordering,0.05,TRANSFORMER,99.65%,12794/12839,45,37.0908
10,Call Reordering,0.05,TRANSGAN,99.70%,12800/12839,39,37.5226
