Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
20,Call Reordering,0.05,TRANSFORMER,99.73%,12804/12839,35,20.7080
20,Call Reordering,0.05,TRANSGAN,99.84%,12818/12839,21,20.4810
