Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
10,Stalling Padding,0.5,TRANSFORMER,100.00%,12839/12839,0,15.2044
10,Stalling Padding,0.5,TRANSGAN,99.98%,12837/12839,2,15.0551
