Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
30,Benign Mimicry,0.3,TRANSFORMER,68.63%,8811/12839,4028,17.2300
30,Benign Mimicry,0.3,TRANSGAN,77.29%,9923/12839,2916,17.1739
