Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Stalling Padding,0.9,SGAN,96.80%,12428/12839,411,11.4528
50,Stalling Padding,0.9,DGCNN,100.00%,12839/12839,0,24.1955
50,Stalling Padding,0.9,CNN,100.00%,12839/12839,0,10.6292
50,Stalling Padding,0.9,HYBRID-DGCNN,100.00%,12839/12839,0,23.4179
50,Stalling Padding,0.9,GAT,100.00%,12839/12839,0,45.5564
50,Stalling Padding,0.9,HYBRID-GAT,100.00%,12839/12839,0,76.3276
50,Stalling Padding,0.9,LSTM,99.94%,12831/12839,8,42.4093
