Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
40,Call Reordering,0.2,TRANSFORMER,99.49%,12773/12839,66,16.2752
40,Call Reordering,0.2,TRANSGAN,99.74%,12806/12839,33,16.1894
