Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
50,Benign Mimicry,0.4,SGAN,97.69%,12542/12839,297,13.4992
50,Benign Mimicry,0.4,DGCNN,95.80%,12300/12839,539,27.9536
50,Benign Mimicry,0.4,CNN,99.84%,12818/12839,21,12.6191
50,Benign Mimicry,0.4,HYBRID-DGCNN,92.76%,11910/12839,929,27.1621
50,Benign Mimicry,0.4,GAT,93.16%,11961/12839,878,51.4382
50,Benign Mimicry,0.4,HYBRID-GAT,90.35%,11600/12839,1239,86.3372
50,Benign Mimicry,0.4,LSTM,84.66%,10870/12839,1969,49.2591
