Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
10,Call Reordering,0.2,TRANSFORMER,99.54%,12780/12839,59,15.7296
10,Call Reordering,0.2,TRANSGAN,99.62%,12790/12839,49,15.7983
