Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
40,Benign Mimicry,0.2,TRANSFORMER,93.31%,11980/12839,859,52.9541
40,Benign Mimicry,0.2,TRANSGAN,81.55%,10470/12839,2369,52.2078
