epoch,d_loss,g_loss
1,0.02977629192173481,0.0035785355139523745
2,0.13743089139461517,0.004714277107268572
3,0.09575390815734863,0.005716690327972174
4,0.03142818063497543,0.0055806622840464115
5,0.014346328563988209,0.006748410873115063
6,0.013390379026532173,0.00605102488771081
7,0.020468905568122864,0.006727598141878843
8,0.1155180111527443,0.007064784877002239
9,0.006434061098843813,0.006900385487824678
10,0.017324674874544144,0.007971488870680332
11,0.013573961332440376,0.007161412388086319
12,0.008882802911102772,0.006171255838125944
13,0.009590184316039085,0.005577558185905218
14,0.004224380943924189,0.006754195783287287
15,0.02416360005736351,0.005434987600892782
16,0.007731374353170395,0.005752904340624809
17,0.009241169318556786,0.005011912900954485
18,0.029107652604579926,0.004713122267276049
19,0.012667147442698479,0.0038257145788520575
20,0.20207081735134125,0.00477269571274519
21,0.013474039733409882,0.004843746777623892
22,0.0076032583601772785,0.004224888980388641
23,0.003288449952378869,0.003661853726953268
24,0.003496434073895216,0.004362793639302254
25,0.002716039540246129,0.003940978553146124
26,0.019022757187485695,0.003864821046590805
27,0.045374106615781784,0.004235586617141962
28,0.004853354301303625,0.0034574505407363176
29,0.005098899360746145,0.0031379566062241793
30,0.14628775417804718,0.0036011296324431896
31,0.008534063585102558,0.002929569222033024
32,0.02400522120296955,0.0031281118281185627
33,0.004640888422727585,0.0030057209078222513
34,0.0024639335460960865,0.003819175297394395
35,0.008797849528491497,0.002801358699798584
36,0.01642715185880661,0.002950989408418536
37,0.0015738224610686302,0.0029979096725583076
38,0.006655712611973286,0.0029925836715847254
39,0.0016827875515446067,0.0028142104856669903
40,0.004232633393257856,0.0025623950641602278
41,0.03167728707194328,0.002342000836506486
42,0.0025989683344960213,0.002905560890212655
43,0.10856281220912933,0.002967818407341838
44,0.004263607785105705,0.002791266655549407
45,0.008198371157050133,0.0024593763519078493
46,0.0014843072276562452,0.0022915825247764587
47,0.0018418036634102464,0.0023332335986196995
48,0.002166066551581025,0.0025351799558848143
49,0.02406245470046997,0.0025875840801745653
50,0.13741491734981537,0.0022902670316398144
