seed,epoch,D_loss,G_loss
10,1,0.0078092459589242935,0.007588234264403582
10,2,0.15459725260734558,0.00787040963768959
10,3,0.15629088878631592,0.006517935078591108
10,4,0.006936841178685427,0.006072286516427994
10,5,0.01707165502011776,0.00952085666358471
10,6,0.013985191471874714,0.005833512172102928
10,7,0.03392365574836731,0.005120911635458469
10,8,0.047517478466033936,0.005963980220258236
10,9,0.014292359352111816,0.006273311097174883
10,10,0.04227185994386673,0.004314006771892309
10,11,0.014039477333426476,0.005044005811214447
10,12,0.002845695475116372,0.004754577297717333
10,13,0.00690106675028801,0.004695391748100519
10,14,0.04238823801279068,0.004250772297382355
10,15,0.0012835090747103095,0.0038566975854337215
10,16,0.01088397204875946,0.004837115295231342
10,17,0.011373280547559261,0.00301157939247787
10,18,0.004634275566786528,0.0038531788159161806
10,19,0.007941686548292637,0.002795109525322914
10,20,0.008305265568196774,0.004575743339955807
10,21,0.007772860582917929,0.004429447930306196
10,22,0.0010334801627323031,0.004311812575906515
10,23,0.003583530429750681,0.004408511333167553
10,24,0.00019273674115538597,0.00606785761192441
10,25,0.01583034172654152,0.00701687578111887
10,26,0.0013688822509720922,0.004104340448975563
10,27,0.008122404105961323,0.005578953772783279
10,28,0.0011985220480710268,0.0057777115143835545
10,29,0.0032057082280516624,0.0048118531703948975
10,30,0.0018605317454785109,0.005487799644470215
10,31,0.0008985570748336613,0.005451418925076723
10,32,4.9865280743688345e-05,0.00526789017021656
10,33,0.002766092773526907,0.007021678611636162
10,34,0.0025585326366126537,0.006185539998114109
10,35,6.305786519078538e-05,0.005742507986724377
10,36,0.2772023677825928,0.005839026998728514
10,37,0.0021614544093608856,0.006532933097332716
10,38,0.00019310721836518496,0.0054913051426410675
10,39,0.00027379445964470506,0.006846798118203878
10,40,0.0072676255367696285,0.006312855053693056
10,41,0.10760881751775742,0.0060205296613276005
10,42,0.0003875400288961828,0.005898892879486084
10,43,0.00018141970213036984,0.006241857539862394
10,44,5.0425082008587196e-05,0.005892043001949787
10,45,2.359090831305366e-05,0.006046952214092016
10,46,0.1489270031452179,0.006105129141360521
10,47,0.0003999624168500304,0.006050241179764271
10,48,0.0007098021451383829,0.006928796414285898
10,49,0.014477219432592392,0.006499345414340496
10,50,0.006143729668110609,0.006489858962595463
20,1,0.19314934313297272,0.007736614439636469
20,2,0.005593380890786648,0.006130192894488573
20,3,0.12064261734485626,0.0045066652819514275
20,4,0.025837762281298637,0.0056773279793560505
20,5,0.002638700883835554,0.0053153387270867825
20,6,0.006717074662446976,0.005748349241912365
20,7,0.012749578803777695,0.006780161522328854
20,8,0.12067639082670212,0.00632573151960969
20,9,0.05674206092953682,0.004602569155395031
20,10,0.015535464510321617,0.003911635838449001
20,11,0.010546140372753143,0.004481473006308079
20,12,0.03371933847665787,0.00521025201305747
20,13,0.0788603350520134,0.0036406959407031536
20,14,0.038949910551309586,0.0030282470397651196
20,15,0.16882635653018951,0.004669080022722483
20,16,0.0014594089007005095,0.004020013380795717
20,17,0.007422437891364098,0.004418869037181139
20,18,0.003445137059316039,0.004384126514196396
20,19,0.002845676615834236,0.004505368415266275
20,20,0.08042841404676437,0.004511866718530655
